chunks,samples,memory_usage,fit_time,predict_time,r_squared
1,8000,72544.628906,628.160,191.314,0.943
1,8000,73157.339844,629.322,187.537,0.973
10,8000,21499.933594,578.460,173.906,0.958
10,8000,21498.910156,578.719,174.291,0.707
20,8000,15256.359375,582.823,174.370,0.970
20,8000,15257.09375,579.739,174.250,0.943
40,8000,12553.273438,586.342,176.663,0.966
40,8000,12555.878906,584.024,175.275,0.970
80,8000,11524.507812,586.870,177.548,0.960
80,8000,11525.941406,587.196,176.718,0.968
120,8000,11981.9375,584.517,176.592,0.966
120,8000,12217.183594,588.246,177.387,0.757
