chunks,samples,memory_usage,fit_time,predict_time,r_squared
1,8000,72994.386719,656.890,195.770,0.969
1,8000,73009.925781,650.923,187.313,0.966
1,8000,72997.585938,663.072,195.882,0.924
1,8000,73102.050781,656.311,194.942,0.963
10,8000,21500.09375,596.958,172.874,0.968
10,8000,21502.160156,599.929,174.313,0.963
10,8000,21505.796875,596.562,173.812,0.710
10,8000,21485.957031,597.705,174.056,0.948
20,8000,15263.351562,597.041,173.993,0.920
20,8000,15267.433594,593.557,174.598,0.948
20,8000,15276.359375,601.015,174.044,0.971
20,8000,15275.890625,600.581,174.514,0.956
40,8000,12566.882812,605.550,174.303,0.779
40,8000,12553.96875,599.426,174.345,0.821
40,8000,12562.523438,601.979,175.747,0.966
40,8000,12557.601562,591.001,174.418,0.965
80,8000,11534.839844,582.714,177.368,0.908
80,8000,11657.441406,583.916,176.173,0.828
80,8000,11978.902344,581.703,177.248,0.861
80,8000,11539.238281,581.219,177.173,0.813
120,8000,12101.269531,584.631,177.052,0.952
120,8000,12147.144531,583.261,173.111,0.937
120,8000,12441.230469,585.614,175.996,0.815
120,8000,12082.175781,585.721,176.746,0.955
160,8000,11558.671875,600.903,181.670,0.948
160,8000,11565.628906,601.578,182.067,0.964
160,8000,11582.1875,600.717,181.969,0.967
160,8000,11562.273438,597.354,181.275,0.967
200,8000,15480.28125,597.525,179.341,0.938
200,8000,15379.714844,597.517,180.795,0.972
200,8000,15435.300781,594.256,179.374,0.917
200,8000,15422.089844,596.238,180.193,0.970
240,8000,13225.933594,579.431,173.141,0.969
240,8000,14261.621094,579.936,174.084,0.942
240,8000,13543.796875,576.131,171.749,0.923
240,8000,12260.824219,577.734,172.883,0.715
300,8000,12187.003906,546.757,145.383,0.964
300,8000,11839.285156,552.942,147.595,0.969
300,8000,11946.15625,543.865,148.441,0.919
300,8000,12119.574219,548.371,146.864,0.934
400,8000,12000.269531,569.262,151.068,0.966
400,8000,12034.007812,570.517,152.374,0.960
400,8000,11978.785156,592.261,176.198,0.720
400,8000,12086.675781,569.533,151.153,0.968
500,8000,16386.941406,492.097,140.534,0.893
500,8000,16490.316406,493.656,140.635,0.967
500,8000,16400.46875,498.723,147.840,0.968
500,8000,16513.144531,495.892,140.182,0.964
600,8000,12122.269531,516.037,150.420,0.954
600,8000,12146.410156,517.189,149.209,0.946
600,8000,12034.722656,517.372,149.889,0.965
600,8000,12101.054688,517.560,150.004,0.958
1000,8000,17444.125,517.458,147.461,0.836
1000,8000,17476.792969,525.830,147.958,0.970
1000,8000,17541.003906,518.515,147.040,0.970
1000,8000,17631.980469,515.205,146.253,0.961
