chunks,samples,memory_usage,fit_time,predict_time,r_squared
1,8000,74542.351562,623.930,197.650,0.969
1,8000,74389.9375,611.089,194.225,0.962
1,8000,74834.953125,612.330,193.957,0.948
1,8000,74673.835938,616.852,195.215,0.887
1,8000,74709.078125,612.328,197.142,0.955
10,8000,76622.785156,81.218,21.076,0.840
10,8000,76508.601562,80.026,21.136,0.964
10,8000,76630.289062,79.212,22.223,0.971
10,8000,76624.773438,79.283,20.933,0.943
10,8000,76655.261719,82.103,20.975,0.964
20,8000,61744.269531,63.502,16.716,0.949
20,8000,61892.296875,62.613,16.337,0.952
20,8000,61982.347656,63.645,16.237,0.964
20,8000,62022.21875,65.605,16.099,0.958
20,8000,63299.863281,63.528,16.354,0.958
40,8000,54004.765625,65.782,17.112,0.939
40,8000,56247.835938,66.399,17.374,0.723
40,8000,56043.769531,65.745,17.631,0.882
40,8000,57218.785156,63.840,17.598,0.942
40,8000,54041.855469,65.935,17.300,0.959
80,8000,46263.4375,66.825,17.091,0.900
80,8000,45741.519531,65.140,17.415,0.969
80,8000,44711.09375,63.611,17.629,0.861
80,8000,44767.523438,64.770,17.371,0.929
80,8000,45197.347656,66.160,17.494,0.968
120,8000,37780.136719,64.247,17.929,0.962
120,8000,38018.667969,63.544,18.700,0.972
120,8000,41415.890625,65.232,18.298,0.969
120,8000,40451.230469,66.772,18.185,0.956
120,8000,41543.996094,64.911,18.381,0.970
160,8000,35226.554688,66.210,18.863,0.945
160,8000,38401.839844,67.812,19.575,0.938
160,8000,36370.148438,67.195,19.202,0.966
160,8000,36807.539062,67.204,19.675,0.970
160,8000,34600.027344,65.783,20.129,0.942
200,8000,35833.652344,68.744,20.327,0.973
200,8000,34460.253906,66.535,20.797,0.966
200,8000,34095.492188,67.414,20.718,0.926
200,8000,36381.789062,67.487,20.632,0.824
200,8000,34772.449219,69.183,20.011,0.969
240,8000,33375.304688,68.154,19.831,0.967
240,8000,34585.941406,67.443,19.691,0.966
240,8000,32789.363281,65.690,19.629,0.969
240,8000,35446.652344,67.066,19.916,0.899
240,8000,35170.589844,67.222,20.076,0.916
300,8000,34168.867188,67.841,19.681,0.880
300,8000,34312.511719,67.684,19.594,0.968
300,8000,30238.929688,68.741,20.156,0.946
300,8000,30996.574219,66.509,19.645,0.969
300,8000,31371.9375,67.467,20.092,0.969
400,8000,30481.199219,69.731,20.659,0.917
400,8000,30111.605469,71.871,21.316,0.971
400,8000,29955.4375,69.998,20.855,0.950
400,8000,30730.117188,69.968,21.126,0.939
400,8000,30247.019531,70.831,20.895,0.966
500,8000,32266.03125,65.649,19.541,0.970
500,8000,31200.300781,66.872,19.193,0.959
500,8000,31193.882812,65.879,19.693,0.969
500,8000,30411.574219,67.157,19.277,0.970
500,8000,32205.453125,65.454,19.989,0.880
600,8000,33068.050781,71.718,20.734,0.972
600,8000,33759.550781,71.718,21.187,0.971
600,8000,31376.546875,69.952,21.218,0.838
600,8000,33024.460938,70.935,20.509,0.970
600,8000,32751.722656,71.385,21.253,0.961
1000,8000,34524.804688,79.541,24.347,0.912
1000,8000,33966.285156,87.953,24.033,0.964
1000,8000,33519.097656,79.144,23.978,0.953
1000,8000,33196.023438,79.682,23.872,0.958
1000,8000,33086.511719,78.115,23.310,0.943
